category,town,name,url,live_on_site
Food & Drink,Saugatuck,Mermaid Waterfront Bar & Grill,https://www.toasttab.com/mermaid-bar-and-grill/giftcards,TRUE
Food & Drink,Holland,Crust 54,https://www.toasttab.com/crust-54-8th-street/giftcards,TRUE
Food & Drink,Saugatuck|Douglas|Kalamazoo,Saugatuck Brewing Co.,https://saugatuckbrewing.com/store/,TRUE
Food & Drink,Holland,Ottawa Beach Inn,https://www.toasttab.com/ottawa-beach-inn/giftcards,TRUE
Food & Drink,Grand Haven|Holland,The Paisley Pig Gastropub,https://www.toasttab.com/the-paisley-pig-gastropub-holland/giftcards?,TRUE
Food & Drink,Holland,Waverly Stone Gastropub,https://www.toasttab.com/waverlystonepub/giftcards,TRUE
Food & Drink,Traverse City,Rare Bird Brewpub,https://rarebirdbrewpub.com/giftcards/,TRUE
Food & Drink,Detroit,Republic Tavern,https://www.itson.me/widget/74-1506-republic-tavern#/merchant/1506,TRUE
Food & Drink,Detroit|East Lansing|Grand Rapids|Kalamazoo|Midland|Okemos,Maru Sushi & Grill,https://www.toasttab.com/maru-okemos/giftcards,TRUE
Food & Drink,Detroit,The Whitney,https://onelink.quickgifts.com/merchant/the-whitney/,TRUE
Food & Drink,Detroit,Lady of the House,https://ecommerce.custcon.com/Purchase/Select?c=90397003-4fde-40fd-8b5b-96a818c2f41f,TRUE
Food & Drink,Detroit,She Wolf Pastifico & Bar,https://swipeit.com/product/1469/shewolf-pastificio--bar,TRUE
Food & Drink,Detroit,Detroit Vegan Soul,http://www.detroitvegansoul.com/shop,TRUE
Food & Drink,Detroit,BESA,https://giftup.app/place-order/14441e34-916c-4542-b73f-66f711dad581?platform=Hosted,TRUE
Food & Drink,Detroit,Supino Pizzeria,https://www.supinopizzeria.com/shop-online/supino-pizzeria-gift-card,TRUE
Food & Drink,Canton,Canton Brew Works,https://squareup.com/gift/14Y45EFKSH7R9/order,TRUE
Food & Drink,Chelsea,Chelsea Alehouse Brewery,https://chelsea-alehouse.square.site/,TRUE
Food & Drink,Tecumseh,Tecumseh Brewing Co.,https://shop.tecumsehbrewingco.com/,TRUE
Food & Drink,Petoskey,Beards Brewery,https://shop.beardsbrewery.com/collections/gift-cards,TRUE
Food & Drink,Ann Arbor,The Jefferson Market,https://squareup.com/gift/VAB32FSYMPVAX/order,TRUE
Food & Drink,Ypsilanti,MAIZ Mexican Cantina,https://www.toasttab.com/maiz-mexican-cantina/giftcards,TRUE
Food & Drink,Ferndale,Imperial,https://squareup.com/gift/P1XCJH02XDJ1B/order,TRUE
Food & Drink,Saint Johns,Waypoint Coffee Company,https://squareup.com/gift/0VY8JAS28X52E/order,TRUE
Food & Drink,Ann Arbor,Cafe Royale,https://swipeit.com/product/436/espresso-royale,TRUE
Food & Drink,Marquette,Java Bay,https://squareup.com/gift/90663SHZFMBQY/order,TRUE
Food & Drink,Owosso,Wrought Iron Grill,https://wroughtirongrill.com/gift-cards/,TRUE
Other,Ann Arbor,The Getup Vintage,https://squareup.com/gift/REGWK37MB29PZ/order,TRUE
Food & Drink,Jackson|Mason,Klavon's Pizzeria & Pub,https://onelink.quickgifts.com/merchant/klavons-pizzeria-and-pub/,TRUE
Food & Drink,Hillsdale,Johnny T's Bistro,https://www.toasttab.com/johnny-t-s-bistro-173-e-south-st/giftcards,TRUE
Food & Drink,Lansing,Saddleback BBQ,https://www.toasttab.com/saddleback-bbq-lansing/giftcards,TRUE
Food & Drink,Clinton Township|New Baltimore|Orion Township|Shelby Township|,Bad Brad's BBQ,https://badbradsbbq.com/gift-cards,TRUE
Food & Drink,Detroit|Madison Heights,Ima,https://www.toasttab.com/ima-midtown/giftcards,TRUE
Food & Drink,Fraser|Macomb|St. Clair Shores|Troy,El Charro,https://elcharrousa.com/store/,TRUE
Food & Drink,Troy,Kona Grill,https://www.konagrill.com/more/gift-cards,TRUE
Food & Drink,Birmingham|Ferndale,Toast,https://onelink.quickgifts.com/merchant/toast-restaurant/,TRUE
Food & Drink,Bloomfield Hills,Eddie Merlot's,https://www.eddiemerlots.com/store,TRUE
Food & Drink,Detroit,Good Cakes and Bakes,https://squareup.com/gift/XTJXE03Y1QEJT/order,TRUE
Food & Drink,Northville|Shelby Township|Sterling Heights|Washington,Art & Jakes Sports Bar and Grill,https://onelink.quickgifts.com/merchant/art-and-jakes-sports-grill,TRUE
Food & Drink,Milford|Royal Oak,The Proving Grounds Coffee & Ice Cream,https://www.toasttab.com/the-proving-ground/giftcards,TRUE
Food & Drink,South Lyon,Lyon Grill,https://onelink.quickgifts.com/merchant/lyon-grill/,TRUE
Food & Drink,Kalamazoo,Amorino,https://www.amorino.com/us/products/amorino-gift-cards.25.html,TRUE
Food & Drink,Kalamazoo,Theo & Stacy's,https://theoandstacys.com/gift-card/,TRUE
Food & Drink,Kalamazoo|Matawan|Portage|Vicksburg,Taco Bob's,https://tacobobs.com/merch/,TRUE
Food & Drink,Fennville,Salt of the Earth,https://onelink.quickgifts.com/merchant/salt-of-the-earth/,TRUE
Food & Drink,Holland|Kalamazoo|Wyoming,Peachwave Frozen Yogurt & Gelato,https://onelink.quickgifts.com/merchant/peachwave-frozen-yogurt/,TRUE
Food & Drink,Holland,The Curragh Irish Pub,https://onelink.quickgifts.com/merchant/curragh-irish-pub/,TRUE
Food & Drink,Zeeland,Vitale's Pizza,https://onelink.quickgifts.com/merchant/vitales-pizza-zeeland/,TRUE
Food & Drink,Gaylord,Iron Pig Smokehouse,https://www.toasttab.com/the-iron-pig-smokehouse/giftcards,TRUE
Food & Drink,Mackinaw City,Audie's Restaurant,https://www.audies.com/shop/,TRUE
Food & Drink,Lapeer,Side Tracks Bar & Grill,https://www.toasttab.com/sidetracksbar/findcard,TRUE
Food & Drink,Redford,Ackroyd's Scottish Bakery,https://ackroydsbakery.com/giftcertificates.php,TRUE
Food & Drink,Ferndale,Antihero,https://squareup.com/gift/P1XCJH02XDJ1B/order,TRUE
Food & Drink,Ferndale,Public House,https://squareup.com/gift/P1XCJH02XDJ1B/order,TRUE
Food & Drink,Detroit,Bangkok 96 Street Food,https://squareup.com/gift/1KRXA6DKHGKC9/order,TRUE
Food & Drink,Detroit,Castalia at Sfumato,https://www.castaliacocktails.com/gift-cards,TRUE
Food & Drink,Detroit,Cliff Bell's,http://www.cliffbells.com/product/gift-card/,TRUE
Other,Detroit,Cinema Detroit,https://www.cinemadetroit.org/gift-cards,TRUE
Food & Drink,Detroit,Cork & Gable,https://squareup.com/gift/ZY88MGHM50MM8/order,TRUE
Other,Detroit,Coup D'Etat,https://shopcoupdetat.com/products/gift-card?_pos=1&_sid=b71e55c0d&_ss=r,TRUE
Food & Drink,Detroit,Eastern Market Brewing Co.,https://easternmarket.beer/shop/gift-card/,TRUE
Food & Drink,Detroit,Empire Kitchen & Cocktails,https://www.empirekitchenandcocktails.com/copy-of-private-events,TRUE
Food & Drink,Detroit,Flowers of Vietnam,https://flowersofvietnam.getbento.com/,TRUE
Food & Drink,Birmingham,"Hazel, Ravines & Downtown",https://www.hrd.kitchen/store/,TRUE
Food & Drink,Detroit,Leila,https://www.leiladetroit.com/,TRUE
Food & Drink,Detroit,Street Beet,https://squareup.com/gift/3QGNETH2BS8RF/order,TRUE
Food & Drink,Detroit,Takoi,http://takoidetroit.com/store,TRUE
Food & Drink,Detroit,Magnet,https://www.magnetdetroit.com/gift-card-1,TRUE
Other,Detroit,Little High Flyers,https://littlehighflyers.com/products/gift-card-1,TRUE
Food & Drink,Detroit,Mink Detroit,https://www.toasttab.com/folk/giftcards,TRUE
Food & Drink,Detroit,Narrow Way Cafe & Shop,https://thenarrowwaycafe.com/collections/all,TRUE
Food & Drink,Detroit,Norma G's,https://squareup.com/gift/RVF1DSE6Y7VB1/order,TRUE
Food & Drink,Detroit,Prime + Proper,https://app.yiftee.com/gifts/egift_and_gift_cards/prime---proper-detroit-2,TRUE
Other,Detroit,Rebel Nell,https://www.rebelnell.com/products/gift-card,TRUE
Food & Drink,Detroit,Rocco's Italian Deli,https://www.roccosdetroit.com/gift-cards,TRUE
Other,Detroit,Sfumato Frangrances,https://sfumatofragrances.com/collections/gifts/products/gift-card,TRUE
Food & Drink,Detroit,Smith & Co.,https://www.smithandcodetroit.com/gift-cards,TRUE
Food & Drink,Ferndale,Voyager,https://www.voyagerferndale.com/shop/gift-card,TRUE
Other,Detroit,Wheelhouse Detroit,https://www.wheelhousedetroit.com/gift-certificates,TRUE
Food & Drink,Detroit,Wright & Company,https://www.wrightdetroit.com/gift-cards,TRUE
Food & Drink,Detroit,Yumvillage,http://www.yumvillage.com/gift-cards,TRUE
Food & Drink,Benton Harbor,The Livery,https://www.toasttab.com/the-livery-benton-harbor/giftcards,TRUE
Food & Drink,Benton Harbor,Houndstooth Restaurant,https://www.eathoundstooth.com/store/gift-cards/,TRUE
Food & Drink,St. Joseph,Silver Beach Pizza,https://silverbeachpizza.com/store/,TRUE
